Site and visit,Major Vegetation Group,Latitude,Longitude,Precipitation Seasonality,MAP,MAT,Mean Maximum Temperature Warmest Month,PerSoilP,PerSoilN,Soil Depth,perSoil WHC ,perSand,Topographic relief,Species richness_vouchers,Species richness_intercepts,Pareto alpha,Lognorm sigma,Delta AIC,Simpson,Shannon
NTAGFU0032-53679,Melaleuca Forests and Woodlands,-14.150625,134.3736028,114,967,27.2,37.4,0.023,0.072,0.7,15.9,67.5,88,41,17,0.48411761,-0.246921661,-7.570763154,0.729606466,1.699946344
NTAGFU0033-53680,Acacia Forests and Woodlands,-14.17696111,134.3554806,113,980,26.8,37.1,0.027,0.074,0.6,15.9,75.8,81.2,53,22,0.77882783,-1.028554602,-27.74310404,0.236156527,0.696622335
NTAGFU0034-53681,Eucalypt Woodlands,-14.062225,134.4215833,113,976,27.4,37.5,0.025,0.072,0.8,15,67.4,78.1,26,9,0.353393011,0.517175325,-3.288641093,0.752793882,1.57885661
NTAGFU0035-53682,Eucalypt Woodlands,-14.04786389,134.420675,114,980,27.4,37.4,0.022,0.067,0.8,15.3,65.1,61.2,76,25,0.647855368,-0.768981023,-22.48062884,0.75797058,1.93325908
NTAGFU0036-53683,Acacia Forests and Woodlands,-14.674575,133.8629833,114,875,27.5,38.5,0.031,0.073,0.7,15.9,68.4,32.8,46,16,0.484231398,-0.247407054,-9.207343653,0.649970101,1.4545461
NTAGFU0037-53684,Eucalypt Woodlands,-14.673675,133.8923556,114,875,27.6,38.5,0.02,0.06,1.1,15.8,69.1,26.1,48,12,0.332185922,0.69782686,0.552061526,0.781109014,1.730737978
NTAGFU0038-53685,Acacia Forests and Woodlands,-14.689975,133.8937444,112,876,27.5,38.6,0.022,0.064,0.7,15.4,72,28.7,33,10,0.395761777,0.21423716,-4.825960327,0.528311732,1.037680226
NTAGFU0039-53686,Mallee Open Woodlands and Sparse Mallee Shrublands,-14.6768,133.8822528,114,872,27.5,38.5,0.025,0.067,0.9,16.2,72.4,30.2,70,30,0.477060587,-0.216365621,-14.95202072,0.878692585,2.479136154
NTAGFU0040-53687,Eucalypt Woodlands,-14.67370556,133.844775,114,875,27.5,38.5,0.02,0.062,1.1,15.6,72.2,24.4,65,40,0.489413278,-0.269272514,-13.82011209,0.870691428,2.585096299
NTAMAC0001-53574,Acacia Open Woodlands,-23.96590833,133.3723,37,280,20.7,36.6,0.015,0.032,0.8,15.1,77.1,28,56,23,0.631843826,-0.729865852,-18.12770957,0.79681503,2.045376569
NTAMAC0002-53575,Eucalypt Open Woodlands,-23.96164444,133.4035083,39,273,20.9,36.7,0.016,0.033,1.2,15.6,81.4,21.5,56,10,0.700400522,-0.884780922,-15.64408313,0.424235779,0.867461688
NTAMAC0003-53576,Acacia Shrublands,-23.95909444,133.4084889,39,273,20.9,36.7,0.018,0.036,1.3,15.2,79.4,20.2,53,17,0.671519645,-0.823375679,-16.04111295,0.342510791,0.920750342
NTAMGD0001-53520,Acacia Forests and Woodlands,-20.02302222,137.3271417,96,360,25.2,38.4,0.024,0.045,0.7,16.2,53,8,45,22,0.650032531,-0.774150875,-22.56859647,0.670309211,1.624871445
NTAMGD0002-53466,Tussock Grasslands,-20.02463611,137.3258,96,360,25.2,38.4,0.026,0.047,0.7,16.8,42.6,9.4,56,41,0.708477571,-0.901058108,-26.61723883,0.933171118,3.02402675
NTASSD0001-53690,Hummock Grasslands,-25.30979167,136.3070278,49,150,22.5,38.6,0.02,0.029,0.8,14.6,83.2,8.3,28,17,0.523632907,-0.396842315,-15.36921874,0.811071661,1.914374098
NTASSD0003-53691,Other Shrublands,-25.29944444,136.298875,49,150,22.5,38.6,0.022,0.027,0.8,14.4,85.3,3.6,32,25,0.483411415,-0.242913508,5.502277031,0.922800628,2.794326359
NTASSD0004-53692,Other Shrublands,-25.25326667,136.2748111,49,150,22.5,38.6,0.02,0.032,0.8,15.7,81.3,8.3,25,16,0.461350718,-0.144987054,-3.372483025,0.818872694,2.060526539
NTASSD0005-53693,Acacia Shrublands,-25.7541124,136.5469516,47,143,22.6,38.7,0.023,0.03,0.8,15.5,72.4,17.1,36,24,0.647612116,-0.768401245,-12.25836859,0.913068833,2.664098032
NTASSD0006-53694,Tussock Grasslands,-25.75343611,136.547825,47,143,22.6,38.7,0.023,0.031,0.9,14.6,82.2,16.3,18,9,0.621446559,-0.703386598,-9.033487348,0.523951247,1.119339106
NTASSD0007-53695,Hummock Grasslands,-25.7836236,136.5648248,47,142,22.5,38.7,0.026,0.028,0.8,15.3,77.2,19.2,35,26,0.788891973,-1.044934749,-20.75077747,0.823763606,2.277494024
NTASSD0009-53696,Tussock Grasslands,-24.7817328,136.0114582,53,167,22.5,38.5,0.024,0.034,0.7,16.5,79.9,8.9,41,22,0.702748557,-0.889551327,-18.44405107,0.854178361,2.29507279
NTASSD0010-53697,Hummock Grasslands,-24.792845,136.021362,53,167,22.5,38.5,0.025,0.03,0.8,15.8,81.1,3.5,47,28,0.726879213,-0.935800445,-17.0950232,0.873959417,2.532806841
NTASSD0011-53559,Tussock Grasslands,-25.48054722,135.1151139,54,138,22.2,38.2,0.028,0.029,0.6,15.6,67.3,8.1,23,5,NA,NA,NA,0.653061224,1.270018152
NTASSD0012-53560,Tussock Grasslands,-25.50321667,135.1157111,54,138,22.2,38.2,0.028,0.029,0.6,16,66.8,7.9,20,6,0.649631306,-0.773200737,-7.093364417,0.675918367,1.248395904
NTASSD0013-53563,"Chenopod Shrublands, Samphire Shrublands and Forblands",-25.52404722,135.1395056,53,140,22.1,38.1,0.026,0.029,0.7,14.9,63.6,13.9,14,5,NA,NA,NA,0.632231405,1.243830722
NTASSD0014-53564,"Chenopod Shrublands, Samphire Shrublands and Forblands",-25.13786944,135.3707,52,144,22.4,38.4,0.029,0.028,0.7,15.7,64.7,6.4,18,5,NA,NA,NA,0.645259516,1.188741298
NTASSD0015-53565,Eucalypt Open Woodlands,-25.12393333,135.6167917,52,147,22.4,38.5,0.024,0.031,0.7,16.2,68.7,15.2,56,18,0.761001341,-0.998477297,-10.62587412,0.769290123,2.045799091
NTASSD0016-53566,Other Shrublands,-25.11011389,135.5079972,51,145,22.4,38.4,0.027,0.026,0.7,15.8,71.1,6,25,12,1.549906604,-1.667335256,-16.15039034,0.759183673,1.941111755
NTASSD0017-53561,Other Shrublands,-25.47658889,135.2584222,54,134,22.2,38.3,0.027,0.031,0.7,14.6,67.6,9.5,36,15,0.739831147,-0.960875653,-5.593705791,0.813968254,2.090986307
NTASSD0018-53562,Tussock Grasslands,-25.12793333,135.5226389,51,145,22.4,38.4,0.028,0.028,0.6,16,66.2,11.3,22,8,0.64200816,-0.754922812,-2.746810333,0.809537489,1.778514107
NTASSD0019-53567,Eucalypt Open Woodlands,-25.09440833,135.6407917,52,147,22.4,38.5,0.025,0.03,0.7,16,68.9,4.9,38,11,0.6681114,-0.815779044,-5.868671449,0.808839512,1.906419105
NTTDAB0001-53580,Eucalypt Open Forests,-13.962875,131.6739972,105,1197,26.7,37.1,0.022,0.082,0.7,14.4,78.9,90.3,58,31,0.449835957,-0.089502819,-2.800746564,0.893586562,2.60329674
NTTDAC0001-53755,Tropical Eucalypt Woodlands/Grasslands,-13.13983269,130.7956871,104,1436,26.4,34.9,0.021,0.087,1,16.1,77.2,34.7,67,41,0.544199457,-0.474973872,-29.24436038,0.866187064,2.516582375
NTTDMR0001-53582,Melaleuca Forests and Woodlands,-18.08004167,133.6845444,108,502,26.4,38.6,0.014,0.048,0.7,15.1,83.7,33.8,98,49,0.609765898,-0.672561784,-17.17396286,0.933655973,3.165972445
NTTDMR0002-53581,Other Forests and Woodlands,-18.07249722,133.6350222,108,500,26.5,38.8,0.014,0.053,0.8,15.4,80,4.4,61,25,0.552698091,-0.503229372,-17.44197149,0.836696429,2.205866384
NTTDMR0003-53583,Mallee Open Woodlands and Sparse Mallee Shrublands,-18.07204444,133.6669306,108,502,26.5,38.7,0.015,0.046,0.8,15.7,76.9,13.3,72,44,0.577265344,-0.580229798,-14.07176792,0.926469553,3.037858809
NTTMGD0001-53521,Eucalypt Woodlands,-17.28296944,133.4238944,107,550,26.6,38.8,0.016,0.05,1,16.1,39.1,11.1,95,30,0.759062214,-0.078829626,-20.2617267,0.896829929,2.70900169
NTTPCK0001-53584,Eucalypt Woodlands,-12.87196111,131.1269944,103,1393,27.2,35.5,0.022,0.073,0.8,15.1,77.3,31.2,65,38,0.422153673,0.056270142,-4.441956943,0.910758533,2.74370102
NTTSTU0001-53585,Acacia Forests and Woodlands,-16.63024167,133.2711583,109,657,26.1,37.8,0.019,0.056,1,15.3,53,5.3,80,39,0.559026348,-0.523710972,-18.07931307,0.77856973,2.161461123
QDACHC0001-53592,Acacia Forests and Woodlands,-24.1046,143.2572944,62,311,23.3,37.7,0.019,0.037,1.1,17,76,6.2,17,5,NA,NA,NA,0.334305556,0.646705445
QDACHC0002-53593,Acacia Forests and Woodlands,-24.12595556,143.1691611,63,296,23.4,37.6,0.025,0.04,1.1,17.3,76.3,12.4,14,6,0.692945263,-0.869419965,-10.59310092,0.191529913,0.425295221
QDACHC0003-53467,Acacia Forests and Woodlands,-24.11637778,143.1648944,63,297,23.4,37.6,0.023,0.035,1,16.8,76.7,18.5,24,12,0.576837916,-0.578946188,-6.765514878,0.747060531,1.758400482
QDACHC0004-53468,Eucalypt Open Woodlands,-23.71877222,141.0918611,72,255,24.1,38.4,0.038,0.036,1.1,17.4,52.7,6.9,33,15,0.687672934,-0.784400093,-17.2313784,0.769513315,1.749488085
QDACHC0005-53522,Tussock Grasslands,-23.721675,141.0723056,72,254,24.1,38.4,0.041,0.037,1.2,17.7,43.2,4.6,37,7,0.544391307,-0.475621448,-1.267847934,0.548440454,1.212445083
QDACHC0006-53469,Tussock Grasslands,-23.76945278,141.1334972,71,254,24.1,38.4,0.037,0.041,1.1,17.4,49.8,13.1,24,7,0.615026058,-0.686588057,-8.056123321,0.522244898,0.97204643
QDACHC0007-53517,Eucalypt Woodlands,-23.83569167,141.0290944,70,252,24,38.4,0.037,0.033,1.2,17.5,52.8,5.4,20,4,NA,NA,NA,0.521223927,0.880835813
QDAEIU0001-53470,Tussock Grasslands,-19.53871389,144.2100194,103,730,21.3,33.4,0.119,0.104,1.1,15.7,35.6,16.1,34,15,1.100038533,-1.403476346,-31.21939731,0.104553497,0.336243601
QDAEIU0002-53523,Eucalypt Woodlands,-19.5525,144.22415,102,729,21.3,33.3,0.147,0.124,1.1,15.4,39.5,37.4,71,27,0.458182295,-0.129998018,-5.749406116,0.915338875,2.698781861
QDAEIU0003-53471,Eucalypt Woodlands,-19.40990833,144.1695861,104,748,21.7,33.6,0.03,0.074,1,15.5,59.6,99.6,46,20,0.539032969,-0.383405713,-9.745743482,0.602611365,1.569388655
QDAEIU0004-53524,Eucalypt Woodlands,-19.44658056,144.1614722,103,744,21.7,33.6,0.038,0.083,0.9,15.5,61.1,87.7,66,21,0.550413129,-0.495718296,-21.1793059,0.767158171,1.69518844
QDAEIU0005-53472,Tussock Grasslands,-18.45493889,143.8993972,115,801,22.5,34.3,0.03,0.051,1.2,15.4,65.3,38,7,2,NA,NA,NA,0.08677686,0.184907399
QDAEIU0006-53473,Eucalypt Open Forests,-18.46784722,143.8916972,114,799,22.5,34.3,0.04,0.055,1.1,15.5,69.7,57.5,25,16,0.417797873,0.080966502,-3.389645812,0.729257615,1.673143465
QDAEIU0007-53474,Eucalypt Open Forests,-18.46784167,143.8907528,114,799,22.5,34.4,0.042,0.055,1,15,68.8,57.5,26,14,0.387877082,0.26560088,-1.432325116,0.709656676,1.609555966
QDAGUP0001-53526,Eucalypt Open Woodlands,-20.10876389,143.7243556,104,593,23.7,36.2,0.017,0.037,1,15.1,84.1,31.2,35,19,0.498269138,-0.30558793,-11.33149255,0.790794003,1.994328739
QDAGUP0002-53475,Other Forests and Woodlands,-20.03099722,143.7625278,105,609,23.4,35.8,0.016,0.045,1.1,15,80.5,31.6,40,31,0.700887527,-0.885772983,-22.81080406,0.849952677,2.475115181
QDAGUP0003-53527,Other Forests and Woodlands,-20.39927778,143.6816889,103,543,24.3,36.8,0.024,0.046,1.2,14.8,59.6,13.8,42,19,0.501054099,-0.31674295,-5.798092644,0.794403949,2.068077132
QDAGUP0004-53476,Other Forests and Woodlands,-20.01373333,142.4778889,107,545,25.2,37.9,0.018,0.04,1.1,14.7,73.3,5.3,35,17,0.732796808,-0.947900658,-14.61361856,0.653893668,1.629089058
QDAGUP0005-53528,Melaleuca Forests and Woodlands,-19.99137222,142.46505,107,547,25.2,37.9,0.016,0.042,1.2,15.2,70.2,4.1,29,17,0.663718168,-0.80587183,-18.90536998,0.492091602,1.184857406
QDAGUP0006-53477,Other Forests and Woodlands,-19.95565,142.4021028,108,548,25.3,37.9,0.017,0.04,1.2,14.6,76.8,4,34,15,0.533979185,-0.439803263,-4.444171757,0.797640097,1.952526613
QDAGUP0007-53478,Tussock Grasslands,-20.084325,141.817025,118,526,25.6,38.3,0.026,0.047,1.2,17,49.7,3.6,23,13,0.529914796,-0.425439605,-7.472754052,0.390453532,0.991867501
QDAGUP0008-53529,Melaleuca Forests and Woodlands,-19.80169444,142.021525,114,550,25.7,38.1,0.016,0.04,1.1,15.3,78.1,7.4,49,25,0.426483062,0.032223581,6.309541548,0.911016,2.737622342
QDAGUP0009-53530,Tussock Grasslands,-19.84586944,141.9606861,113,546,25.7,38.1,0.023,0.048,1.2,17.6,47.9,3,34,15,0.451963929,-0.099969476,-6.234890786,0.774819524,1.797353327
QDAGUP0010-53479,Melaleuca Forests and Woodlands,-19.91485278,141.8342833,117,539,25.7,38.1,0.017,0.04,1.1,14.4,69.9,5.5,37,22,0.724384165,-0.932052466,-21.28652479,0.751873392,1.93023344
QDAGUP0011-53531,Other Forests and Woodlands,-19.93981944,141.827775,116,538,25.7,38.1,0.016,0.041,1.1,15,78.4,5.7,47,25,0.467663363,-0.1742452,-0.941334315,0.842751384,2.311673087
QDAGUP0012-53525,Mallee Open Woodlands and Sparse Mallee Shrublands,-19.58185278,140.3117278,112,536,25.9,37.7,0.023,0.047,1.1,16.8,48.4,8.2,51,19,0.567314695,-0.549845356,-7.146362843,0.826381154,2.166615742
QDAGUP0013-53532,Tussock Grasslands,-19.297825,140.16375,112,552,26.1,37.7,0.021,0.054,1.2,17.1,45.7,1.8,21,9,0.671817343,-0.824035635,-14.65315141,0.616843638,1.135774386
QDAGUP0014-53480,Tussock Grasslands,-18.23883889,140.7870389,123,717,26.8,37.2,0.017,0.058,1.3,17,51.5,0.8,30,15,0.47897859,0.468387739,-0.549781232,0.843237838,2.152203079
QDAGUP0015-53533,Tussock Grasslands,-18.25704722,140.7325694,122,715,26.7,37.3,0.022,0.061,1.3,16.6,47,2,37,16,0.39557276,0.215444531,-3.53249091,0.825944252,2.009946571
QDAGUP0016-53481,Eucalypt Woodlands,-18.24885556,140.7482667,123,715,26.8,37.3,0.019,0.06,1.3,16.8,49.9,1.6,37,21,0.475318527,-0.208683081,-8.898602519,0.858400175,2.192055871
QDAGUP0017-53568,Tussock Grasslands,-17.64137778,141.0862639,125,842,27.2,36.9,0.021,0.052,1.1,15.7,56.5,5.6,37,12,0.428338666,0.022065862,-3.656439999,0.5306806,1.268354815
QDAGUP0018-53482,Melaleuca Forests and Woodlands,-17.66053889,141.1054028,126,836,27.2,36.9,0.022,0.053,1,15.3,58,3.1,29,20,0.418329113,0.077926975,-2.146760715,0.85010158,2.26456141
QDAGUP0019-53534,Tussock Grasslands,-17.62165833,141.0736639,126,846,27.2,36.9,0.02,0.046,1.1,16.5,54.4,6.5,25,6,0.355869188,0.497485884,-1.09609403,0.594717498,1.098185665
QDAGUP0020-53483,Tussock Grasslands,-17.01355833,140.960225,125,975,27,36.3,0.02,0.054,0.9,15.5,52.7,4.9,17,7,0.350205362,1.236079098,0.433463834,0.630360562,1.318187306
QDAGUP0021-53535,Other Forests and Woodlands,-17.00219167,140.9937028,125,974,27.1,36.3,0.029,0.06,1.1,14.8,60.2,4.9,36,22,0.46207088,-0.148365292,-0.291079034,0.879698259,2.413214771
QDAGUP0022-53484,Tussock Grasslands,-17.02223889,141.0554806,125,966,27.1,36.4,0.021,0.05,0.9,15,54.7,2.1,20,11,0.617250415,-0.692447409,-13.17039478,0.551315685,1.020077077
QDAGUP0023-53536,Tussock Grasslands,-17.02338611,141.0373028,125,966,27.1,36.3,0.026,0.058,1,14.9,36.7,0.9,17,8,0.359938015,0.465720656,-3.765564552,0.600990184,1.152182913
QDAGUP0024-53485,Tussock Grasslands,-17.46353889,140.8475333,126,881,27.1,36.5,0.021,0.055,0.9,16.5,50.2,4.2,10,5,NA,NA,NA,0.60563307,1.045127515
QDAGUP0025-53537,Eucalypt Woodlands,-17.45801944,140.8402333,126,883,27.1,36.5,0.026,0.064,1,15.7,57.5,4,35,18,0.529024998,-0.422265593,-10.7243243,0.700632548,1.618724522
QDAGUP0026-53486,Other Forests and Woodlands,-17.47048611,140.8477056,126,879,27.1,36.5,0.023,0.061,1,16.1,58.5,4.7,51,22,0.516574383,-0.296332991,-11.98503353,0.827051335,2.1802967
QDAGUP0027-53538,Melaleuca Forests and Woodlands,-17.37572778,141.1758417,126,887,27.2,36.8,0.022,0.048,1.1,15.3,57.5,6.2,26,10,0.59975212,-0.645179954,-16.36064452,0.523782784,0.926660609
QDAGUP0028-53487,Melaleuca Forests and Woodlands,-17.29504167,141.1789167,125,903,27.2,36.7,0.022,0.044,1,15.1,60,6,42,17,0.723871003,-0.931073838,-23.31111927,0.47495221,1.071100576
QDAGUP0029-53488,Melaleuca Forests and Woodlands,-16.84716389,143.1584611,121,930,26.5,37.1,0.018,0.051,1,16.2,70.6,11.9,35,20,0.568310769,-0.552934769,-9.332060332,0.852928839,2.238909684
QDAGUP0030-53489,Other Open Woodlands,-16.84804167,143.1584667,121,930,26.5,37.1,0.016,0.049,1,16.4,72,11,30,21,0.475557002,-0.209738034,0.961212666,0.87337496,2.416823969
QDAGUP0031-53490,Melaleuca Forests and Woodlands,-16.84805833,143.1575194,121,930,26.5,37.1,0.018,0.052,1,16.4,70.4,10.7,34,16,0.451340102,-0.096911343,1.853517058,0.823075328,2.076516405
QDAMGD0001-53586,Tussock Grasslands,-23.52076944,144.2258917,61,443,23.4,37.3,0.034,0.053,1.1,17.4,40.2,9.7,50,21,0.60161844,-0.650352329,-13.92394021,0.809274564,2.110234433
QDAMGD0002-53587,Eucalypt Open Woodlands,-23.50947778,144.2260389,62,443,23.5,37.3,0.034,0.051,1.1,17.8,39.6,7.1,61,26,0.532831104,-0.435768091,-6.333233456,0.85802725,2.41639051
QDAMGD0003-53491,Tussock Grasslands,-23.53082778,144.3034639,61,448,23.3,37.1,0.038,0.055,1,17.7,35,13,27,12,0.553107635,0.188578081,-6.744594412,0.74364926,1.667920202
QDAMGD0004-53588,Acacia Forests and Woodlands,-23.51407383,144.3417074,61,450,23.3,37.2,0.036,0.045,1.1,17.7,45.1,10.8,44,22,0.742110731,-0.965027624,-22.11672882,0.809081312,2.032021654
QDAMGD0005-53589,Eucalypt Open Woodlands,-23.51773611,144.3332861,61,448,23.4,37.2,0.04,0.053,1.1,17.9,38.6,8.5,69,26,0.641578316,-0.753879243,-23.3843461,0.827002353,2.18690526
QDAMGD0006-53492,Tussock Grasslands,-23.66470833,144.0417944,61,419,23.3,37.2,0.037,0.047,1,18.1,46.6,13.4,32,12,0.466436414,-0.168620486,-1.39450201,0.773877551,1.797345975
QDAMGD0007-53590,Tussock Grasslands,-23.65817222,144.0949417,60,422,23.4,37.3,0.036,0.05,1.1,17.8,41.2,9.8,40,15,0.526854789,-0.414479198,-3.631525345,0.715011208,1.723636563
QDAMGD0008-53493,Tussock Grasslands,-23.64601389,144.0749806,60,421,23.3,37.3,0.042,0.054,1,17.9,35.5,16.1,36,11,0.605245047,-0.660312071,-8.506761364,0.601716097,1.324472721
QDAMGD0009-53494,"Chenopod Shrublands, Samphire Shrublands and Forblands",-24.09416389,143.3365,61,321,23.4,37.7,0.034,0.054,1.1,18.6,41.1,4.8,29,12,0.764454106,-1.004412399,-7.786707515,0.816856273,1.984290617
QDAMGD0010-53591,Eucalypt Open Woodlands,-24.09121389,143.3534139,62,323,23.4,37.7,0.04,0.053,1.1,18.4,42.2,5.7,35,17,0.480502049,-0.231378854,-11.30005221,0.815867266,1.954616054
QDAMGD0011-53495,Tussock Grasslands,-24.08063056,143.3151833,61,318,23.4,37.6,0.028,0.045,1.1,18.2,53.5,6.5,12,5,NA,NA,NA,0.24241222,0.53951341
QDAMGD0012-53496,Acacia Open Woodlands,-24.82182222,144.8236083,54,474,21.9,36.1,0.036,0.067,1.1,14.9,46.7,27.6,50,22,0.650163924,-0.774461768,-8.565706789,0.839136434,2.325299396
QDAMGD0013-53539,Tussock Grasslands,-22.51617778,143.0502306,78,423,23.9,37.8,0.034,0.047,1.1,17.5,45.9,7.7,26,10,0.719280163,-0.922256567,-12.93968339,0.710959561,1.439127906
QDAMGD0014-53497,Tussock Grasslands,-22.50515,143.0251972,77,420,23.9,37.9,0.03,0.042,1.1,17.3,40.3,5.3,34,12,0.734862404,-0.951736458,-5.461986931,0.672576177,1.673920079
QDAMGD0015-53540,Eucalypt Open Woodlands,-22.56293056,143.0581722,79,423,23.9,37.8,0.029,0.042,0.9,16.6,51,21.1,55,14,0.995014072,-1.306533922,-25.79126961,0.657596372,1.418940362
QDAMGD0016-53498,Acacia Forests and Woodlands,-22.50896389,143.1398806,80,430,23.8,37.8,0.033,0.048,0.9,15.6,62.6,41.7,21,12,0.760131737,-0.996973964,-17.142897,0.700995918,1.482111419
QDAMGD0017-53499,Tussock Grasslands,-22.11496667,143.299425,81,407,24,37.7,0.048,0.055,1,17.6,39.4,11.5,28,12,0.936500439,-1.244730263,-18.4481124,0.260177533,0.715506292
QDAMGD0018-53541,Tussock Grasslands,-22.11817778,143.3371667,81,407,23.9,37.6,0.049,0.055,1,16.8,39.8,13.8,28,11,0.487485471,-0.261192241,-8.27420237,0.576619466,1.280794381
QDAMGD0019-53542,Tussock Grasslands,-22.07012222,142.2318139,90,376,24.2,38.1,0.036,0.046,1,17.9,41.1,7.6,14,3,NA,NA,NA,0.54281795,0.885594397
QDAMGD0020-53500,Acacia Forests and Woodlands,-22.06360278,142.2230083,90,376,24.2,38.1,0.034,0.049,1.1,17.5,43.2,6.8,26,7,0.637027214,-0.742743756,-10.59360047,0.4225178,0.77180831
QDAMGD0021-53543,Tussock Grasslands,-22.3808,141.2998806,80,324,24.3,38.2,0.043,0.041,1,17.3,49.3,8.3,32,12,0.583468742,-0.598647579,-8.517796415,0.75602552,1.705837274
QDAMGD0022-53501,Tussock Grasslands,-22.36874444,141.2872806,80,325,24.3,38.2,0.044,0.039,1,17.4,48.9,8.7,37,18,0.740752973,-0.962557718,-12.80758128,0.802011888,2.058747439
QDAMGD0023-53544,Eucalypt Open Woodlands,-23.68724167,140.9866361,71,253,24.1,38.3,0.035,0.037,1.1,16.9,57.9,13.5,31,14,0.368118512,0.403980972,0.525943503,0.762972129,1.827140943
QDAMGD0024-53502,Acacia Forests and Woodlands,-23.64641944,141.0037389,72,255,24,38.3,0.037,0.035,1.1,17.3,59.1,14.1,36,11,0.933354023,-1.241130579,-13.77384592,0.687728269,1.597324224
QDAMGD0025-53545,Acacia Forests and Woodlands,-20.33794722,143.8724389,103,554,24.1,36.5,0.042,0.059,1,15.2,58.5,57,37,12,0.617859199,-0.6940437,-9.760694953,0.390311876,0.958707491
QDAMGD0026-53503,Acacia Forests and Woodlands,-20.39619167,143.8607778,103,546,24.1,36.6,0.045,0.063,1,15.5,55.3,60.2,26,8,0.620112825,-0.699925618,-9.92994259,0.395937412,0.838601944
QDAMGD0027-56936,Tussock Grasslands,-20.06951667,138.1745611,96,387,25.2,38.2,0.02,0.038,0.8,16,63.8,5.5,55,27,0.639528807,-0.748884223,-15.92609702,0.866271707,2.418424792
QDAMGD0028-56937,Eucalypt Woodlands,-19.94913889,138.0986306,98,399,25.2,38.2,0.024,0.046,0.7,16.1,60.1,15.3,64,34,0.63702522,-0.742738843,-19.51371006,0.901766454,2.686095314
QDAMII0001-53504,Mallee Open Woodlands and Sparse Mallee Shrublands,-19.50785,140.2213583,111,540,25.9,37.7,0.028,0.05,0.8,15.8,61.9,23.8,45,20,1.036562243,-1.347808014,-20.74813036,0.889506098,2.485479449
QDAMII0002-53546,Mallee Open Woodlands and Sparse Mallee Shrublands,-20.00789444,138.1605917,98,394,25.2,38.1,0.026,0.051,0.8,16.3,62.6,11.6,50,22,0.679640171,-0.841168575,-17.58001582,0.743078936,1.969093361
QDAMUL0001-53594,Acacia Forests and Woodlands,-24.73364722,144.6834389,54,478,21.4,35.7,0.02,0.04,0.9,14.9,79.1,26.9,32,7,0.513189576,0.329209397,-8.432409346,0.411944539,0.814181115
QDAMUL0002-53505,Acacia Forests and Woodlands,-24.73815278,144.7015917,54,478,21.5,35.8,0.021,0.042,1,14.7,82.8,65.8,6,1,NA,NA,NA,0,0
QDAMUL0003-53595,Acacia Forests and Woodlands,-24.75512222,144.7083222,54,477,21.5,35.8,0.019,0.04,0.9,14.5,87.9,40.7,28,14,0.592046849,-0.623479898,-15.1921056,0.333097083,0.840320658
QDASSD0001-53756,Hummock Grasslands,-23.76406944,138.4765167,63,205,23.7,38.8,0.015,0.031,0.9,16.5,75.4,13.3,38,9,0.7925953,-1.001126292,-15.8600015,0.153922921,0.406154027
QDASSD0001-57621,Hummock Grasslands,-23.76406944,138.4765167,63,205,23.7,38.8,0.015,0.031,0.9,16.5,75.4,13.3,30,17,0.924300786,-1.230636526,-27.01593595,0.216204878,0.627923128
QDASSD0002-53757,Mallee Open Woodlands and Sparse Mallee Shrublands,-23.82771944,138.3897028,62,204,23.7,38.9,0.015,0.032,1,17.1,70.5,12.6,22,13,0.538974153,-0.457158882,-6.338044484,0.779563138,1.840347232
QDASSD0002-57622,Mallee Open Woodlands and Sparse Mallee Shrublands,-23.82771944,138.3897028,62,204,23.7,38.9,0.015,0.032,1,17.1,70.5,12.6,34,17,0.50243464,-0.322226796,-6.763785227,0.794393009,1.963283052
QDASSD0003-56912,Acacia Forests and Woodlands,-23.83157222,138.4074167,62,204,23.7,38.9,0.016,0.034,1,16.6,81.4,12.7,29,15,0.564963312,-0.542508982,-12.22859953,0.825714286,1.945425586
QDASSD0003-57623,Acacia Forests and Woodlands,-23.83157222,138.4074167,62,204,23.7,38.9,0.016,0.034,1,16.6,81.4,12.7,34,20,0.525647246,-0.411108501,-12.56751574,0.849224346,2.161311472
QDASSD0004-56913,Hummock Grasslands,-23.680125,138.433775,64,209,23.7,38.8,0.016,0.036,0.9,17.1,79.8,9.5,32,9,0.752080789,-0.982891011,-14.70814695,0.135560032,0.379419795
QDASSD0004-57624,Hummock Grasslands,-23.680125,138.433775,64,209,23.7,38.8,0.016,0.036,0.9,17.1,79.8,9.5,28,9,0.580152419,0.104296696,-7.981335558,0.320448413,0.762010042
QDASSD0005-56914,Acacia Forests and Woodlands,-23.69443889,138.4409972,64,209,23.7,38.8,0.015,0.035,0.9,16.8,80.1,10.2,19,9,0.554395681,-0.508769567,-6.874943257,0.587738337,1.159412302
QDASSD0005-57625,Acacia Forests and Woodlands,-23.69443889,138.4409972,64,209,23.7,38.8,0.015,0.035,0.9,16.8,80.1,10.2,22,17,0.485649365,-0.148076164,-7.045832795,0.743926585,1.767094626
QDASSD0006-56915,Hummock Grasslands,-23.87954167,138.0984194,59,206,23.5,38.9,0.015,0.029,1,16.1,85.2,9.4,33,18,0.541122419,-0.464524761,-0.563572499,0.800623211,2.125190352
